"year","biomass_ton"
1996,654.35600906407
1997,637.424264779515
1998,950.211286121563
1999,844.514462744916
2000,1295.8934341512
2001,1288.74131488865
2002,1225.44332439826
2003,1166.44817997181
2004,1313.58161238906
2005,1233.09868562898
2006,1354.45064210958
2007,1146.57350131286
2008,1739.41159722402
2009,1824.62411271197
2010,2082.33614821054
2011,2854.56137771274
2012,2679.63406276368
2013,3016.49206537796
2014,3305.75504006453
2015,4783.34267687483
2016,5581.8209999887
2017,4998.72688237993
2018,5048.92989085192
2019,4473.79544434899
2020,5567.67776193802
2021,7257.06971208573
